"name","id","sis_id","root_account","section","section_id","section_sis_id","submitted","attempt","X53457908..All.times.for.gatherings.in.this.survey.are.listed.in.U.S..Mountain.Time..You.will.need.to.use.a.Time.Zone.Converter.to.know.what.each.day.and.time.is.in.your.local.timezone..Practice.using.the.converter.by.converting.5.00.pm.U.S..Mountain.Time..Salt.Lake.City..to.your.local.time.zone..Were.you.able.to.use.he.converter.to.correctly.figure.out.what.5.00.pm.U.S..Mountain.Time.is.in.your.local.time.","X1","X53457918..For.each.of.the.days.and.times.below..indicate.how.likely.it.is.that.you.can.attend.an.online.gathering.every.week.on.that.same.day.and.time..The.Gathering.Assistant.will.assign.you.to.a.gathering.group.according.to.student.responses.to.this.survey..You.will.need.to.commit.to.attending.your.assigned.gathering..at.the.same.time.every.week..Convert.each.time.from.U.S..Mountain.Time..Salt.Lake.City..to.your.local.time...Time.Zone.Converter.","X0","X53457922..Wednesday..4.00.pm.U.S..Mountain.Time..W4.","X1.1","X53458068..Wednesday..5.00.pm.U.S..Mountain.Time..W5.","X1.2","X53458112..Wednesday..6.00.pm.U.S..Mountain.Time..W6.","X1.3","X53458182..Wednesday..7.00.pm.U.S..Mountain.Time..W7.","X1.4","X53458264..Wednesday..8.00.pm.U.S..Mountain.Time..W8.","X1.5","X53458294..Wednesday..9.00.pm.U.S..Mountain.Time..W9.","X1.6","X53458296..Thursday..4.00.pm.U.S..Mountain.Time..T4.","X1.7","X53458322..Thursday..5.00.pm.U.S..Mountain.Time..T5.","X1.8","X53458332..Thursday..6.00.pm.U.S..Mountain.Time..T6.","X1.9","X53458368..Thursday..7.00.pm.U.S..Mountain.Time..T7.","X1.10","X53458376..Thursday..8.00.pm.U.S..Mountain.Time..T8.","X1.11","X53458384..Thursday..9.00.pm.U.S..Mountain.Time..T9.","X1.12","n.correct","n.incorrect","score"
"Student 1",34729,1,"byui.instructure.com","James Findlay Sandbox",6325,1001,"2022-10-14 16:20:31 UTC",1,"Yes",1,NA,0,"Likely",1,"Likely",1,"Maybe",0,"Maybe",0,"Unlikely",0,"Unlikely",0,"Likely",1,"Likely",1,"Maybe",0,"Unlikely",0,"Unlikely",0,"Unlikely",0,6,8,10
"Student 2",34728,2,"byui.instructure.com","James Findlay Sandbox",6325,1001,"2022-10-14 16:18:47 UTC",1,"Yes",1,NA,0,"Unlikely",0,"Unlikely",0,"Likely",1,"Likely",1,"Maybe",0,"Unlikely",0,"Unlikely",0,"Maybe",0,"Maybe",0,"Likely",1,"Unlikely",0,"Unlikely",0,5,9,10
"Student 3",34727,3,"byui.instructure.com","James Findlay Sandbox",6325,1001,"2022-10-14 16:20:31 UTC",1,"Yes",1,NA,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"Likely",1,"",0,"",0,"",0,NA,NA,NA
"Student 4",34726,4,"byui.instructure.com","James Findlay Sandbox",6325,1001,"2022-10-14 16:18:47 UTC",1,"Yes",1,NA,0,"Likely",1,"Unlikely",0,"Likely",1,"Likely",1,"Unlikely",0,"Unlikely",0,"Unlikely",0,"Unlikely",0,"Likely",1,"Unlikely",0,"Unlikely",0,"Unlikely",0,NA,NA,NA
"Student 5",34725,5,"byui.instructure.com","James Findlay Sandbox",6325,1001,"2022-10-14 16:20:31 UTC",1,"Yes",1,NA,0,"Maybe",0,"Likely",1,"Likely",1,"Unlikely",0,"Maybe",0,"Unlikely",0,"Unlikely",0,"Unlikely",0,"Maybe",0,"Unlikely",0,"Maybe",0,"Unlikely",0,NA,NA,NA
"Student 6",34724,6,"byui.instructure.com","James Findlay Sandbox",6325,1001,"2022-10-14 16:18:47 UTC",1,"Yes",1,NA,0,"Likely",1,"Unlikely",0,"Unlikely",0,"Maybe",0,"Unlikely",0,"Unlikely",0,"Likely",1,"Maybe",0,"Unlikely",0,"Maybe",0,"Unlikely",0,"Maybe",0,NA,NA,NA
"Student 7",34723,7,"byui.instructure.com","James Findlay Sandbox",6325,1001,"2022-10-14 16:20:31 UTC",1,"Yes",1,NA,0,"Unlikely",0,"Unlikely",0,"Likely",1,"Unlikely",0,"Likely",1,"Unlikely",0,"Unlikely",0,"Unlikely",0,"Likely",1,"Unlikely",0,"Likely",1,"Unlikely",0,NA,NA,NA
"Student 8",34722,8,"byui.instructure.com","James Findlay Sandbox",6325,1001,"2022-10-14 16:18:47 UTC",1,"Yes",1,NA,0,"Likely",1,"Maybe",0,"Unlikely",0,"Likely",1,"Unlikely",0,"Unlikely",0,"Unlikely",0,"Unlikely",0,"Unlikely",0,"Likely",1,"Unlikely",0,"Unlikely",0,NA,NA,NA
"Student 9",34721,9,"byui.instructure.com","James Findlay Sandbox",6325,1001,"2022-10-14 16:20:31 UTC",1,"Yes",1,NA,0,"Unlikely",0,"Unlikely",0,"Unlikely",0,"Unlikely",0,"Unlikely",0,"Unlikely",0,"Likely",1,"Likely",1,"Unlikely",0,"Unlikely",0,"Unlikely",0,"Unlikely",0,NA,NA,NA
"Student 10",34720,10,"byui.instructure.com","James Findlay Sandbox",6325,1001,"2022-10-14 16:18:47 UTC",1,"Yes",1,NA,0,"Unlikely",0,"Unlikely",0,"Unlikely",0,"Likely",1,"Unlikely",0,"Unlikely",0,"Unlikely",0,"Maybe",0,"Unlikely",0,"Likely",1,"Unlikely",0,"Maybe",0,NA,NA,NA
